"dataset" "learner" "memory_limit"
"1" "APS.Failure.and.Operational.Data...IDA2016Challenge.41138" "classif.RcppHNSW" 2122644.36
"2" "APS.Failure.and.Operational.Data...IDA2016Challenge.41138" "classif.glmnet" 2801268.96
"3" "APS.Failure.and.Operational.Data...IDA2016Challenge.41138" "classif.kerasff" 7031912.4
"4" "APS.Failure.and.Operational.Data...IDA2016Challenge.41138" "classif.ranger.pow" 4507223.52
"5" "APS.Failure.and.Operational.Data...IDA2016Challenge.41138" "classif.rpart" 3256112.16
"6" "APS.Failure.and.Operational.Data...IDA2016Challenge.41138" "classif.svm" 4106764.2
"7" "APS.Failure.and.Operational.Data...IDA2016Challenge.41138" "classif.svm.radial" 4466997.12
"8" "APS.Failure.and.Operational.Data...IDA2016Challenge.41138" "classif.xgboost.dart" 2546682
"9" "APS.Failure.and.Operational.Data...IDA2016Challenge.41138" "classif.xgboost.gblinear" 2372568.48
"10" "APS.Failure.and.Operational.Data...IDA2016Challenge.41138" "classif.xgboost.gbtree" 2394042.12
"11" "Amazon_employee_access.4135" "classif.RcppHNSW" 781852.56
"12" "Amazon_employee_access.4135" "classif.glmnet" 765423.12
"13" "Amazon_employee_access.4135" "classif.kerasff" 2072637.36
"14" "Amazon_employee_access.4135" "classif.ranger.pow" 1964889
"15" "Amazon_employee_access.4135" "classif.rpart" 467566.8
"16" "Amazon_employee_access.4135" "classif.svm" 1255640.4
"17" "Amazon_employee_access.4135" "classif.svm.radial" 1264181.76
"18" "Amazon_employee_access.4135" "classif.xgboost.dart" 1124703.6
"19" "Amazon_employee_access.4135" "classif.xgboost.gblinear" 1298892.48
"20" "Amazon_employee_access.4135" "classif.xgboost.gbtree" 1246034.88
"21" "Australian.40981" "classif.RcppHNSW" 336502.8
"22" "Australian.40981" "classif.glmnet" 359373.6
"23" "Australian.40981" "classif.kerasff" 1065461.28
"24" "Australian.40981" "classif.ranger.pow" 454461.12
"25" "Australian.40981" "classif.rpart" 355391.76
"26" "Australian.40981" "classif.svm" 366950.16
"27" "Australian.40981" "classif.svm.radial" 367835.76
"28" "Australian.40981" "classif.xgboost.dart" 400668.96
"29" "Australian.40981" "classif.xgboost.gblinear" 386355.84
"30" "Australian.40981" "classif.xgboost.gbtree" 398674.08
"31" "Bioresponse.4134" "classif.RcppHNSW" 938896.68
"32" "Bioresponse.4134" "classif.glmnet" 1148649.84
"33" "Bioresponse.4134" "classif.kerasff" 2947082.4
"34" "Bioresponse.4134" "classif.ranger.pow" 1344516.48
"35" "Bioresponse.4134" "classif.rpart" 1236595.2
"36" "Bioresponse.4134" "classif.svm" 1906783.8
"37" "Bioresponse.4134" "classif.svm.radial" 1907990.88
"38" "Bioresponse.4134" "classif.xgboost.dart" 1412670.96
"39" "Bioresponse.4134" "classif.xgboost.gblinear" 1800996.6
"40" "Bioresponse.4134" "classif.xgboost.gbtree" 1412923.68
"41" "CIFAR_10.40927" "classif.RcppHNSW" 13539659.76
"42" "CIFAR_10.40927" "classif.glmnet" 11498407.2
"43" "CIFAR_10.40927" "classif.kerasff" 55986294.72
"44" "CIFAR_10.40927" "classif.ranger.pow" 24493984.32
"45" "CIFAR_10.40927" "classif.rpart" 19347658.08
"46" "CIFAR_10.40927" "classif.svm" 26948005.8
"47" "CIFAR_10.40927" "classif.svm.radial" 26947334.88
"48" "CIFAR_10.40927" "classif.xgboost.dart" 15937609.2
"49" "CIFAR_10.40927" "classif.xgboost.gblinear" 16013132.4
"50" "CIFAR_10.40927" "classif.xgboost.gbtree" 16017123.84
"51" "Click_prediction_small.1220" "classif.RcppHNSW" 607776
"52" "Click_prediction_small.1220" "classif.glmnet" 486910.32
"53" "Click_prediction_small.1220" "classif.kerasff" 1178804.16
"54" "Click_prediction_small.1220" "classif.ranger.pow" 5559437.16
"55" "Click_prediction_small.1220" "classif.rpart" 488382.72
"56" "Click_prediction_small.1220" "classif.svm" 615327.36
"57" "Click_prediction_small.1220" "classif.svm.radial" 611114.64
"58" "Click_prediction_small.1220" "classif.xgboost.dart" 563884.8
"59" "Click_prediction_small.1220" "classif.xgboost.gblinear" 522117.6
"60" "Click_prediction_small.1220" "classif.xgboost.gbtree" 528246
"61" "CreditCardSubset.4154" "classif.RcppHNSW" 465144.24
"62" "CreditCardSubset.4154" "classif.glmnet" 424221.6
"63" "CreditCardSubset.4154" "classif.kerasff" 1131492
"64" "CreditCardSubset.4154" "classif.ranger.pow" 932074.8
"65" "CreditCardSubset.4154" "classif.rpart" 433878
"66" "CreditCardSubset.4154" "classif.svm" 518302.32
"67" "CreditCardSubset.4154" "classif.svm.radial" 522421.92
"68" "CreditCardSubset.4154" "classif.xgboost.dart" 454601.28
"69" "CreditCardSubset.4154" "classif.xgboost.gblinear" 457586.4
"70" "CreditCardSubset.4154" "classif.xgboost.gbtree" 461517.6
"71" "Devnagari.Script.40923" "classif.RcppHNSW" 5807005.44
"72" "Devnagari.Script.40923" "classif.glmnet" 4814810.4
"73" "Devnagari.Script.40923" "classif.kerasff" 24060112.2
