"","name","data.id","task.id_cv10","task.id_10cv10"
"1","KDDCup09_appetency.1111",1111,3945,168800
"2","Fashion.MNIST.40996",40996,146825,168859
"3","connect.4.40668",40668,146195,168801
"4","numerai28.6.23517",23517,167120,168802
"5","higgs.23512",23512,146606,168803
"6","Amazon_employee_access.4135",4135,34539,168804
"7","nomao.1486",1486,9977,168805
"8","jungle_chess_2pcs_raw_endgame_complete.41027",41027,167119,168806
"10","electricity.151",151,219,1943
"12","helena.41169",41169,168329,168808
"13","jannis.41168",41168,168330,168809
"14","volkert.41166",41166,168331,168810
"15","robert.41165",41165,168332,168811
"16","shuttle.40685",40685,146212,168812
"17","guillermo.41159",41159,168337,168813
"18","riccardo.41161",41161,168338,168814
"19","MiniBooNE.41150",41150,168335,168815
"20","kick.41162",41162,168336,168816
"22","LED.display.domain.7digit.40496",40496,125921,168817
"23","dresses.sales.23381",23381,125920,168818
"24","kc2.1063",1063,3913,4618
"25","climate.model.simulation.crashes.40994",40994,146819,168819
"26","cylinder.bands.6332",6332,14954,168820
"27","wdbc.1510",1510,9946,168821
"28","micro.mass.1515",1515,9950,168822
"29","ilpd.1480",1480,9971,168823
"30","synthetic_control.377",377,3512,4217
"31","monks.problems.2.334",334,3493,4198
"32","balance.scale.11",11,11,1891
"33","profb.470",470,3561,4266
"34","soybean.42",42,41,1921
"35","Australian.40981",40981,146818,168824
"36","breast.w.15",15,15,1895
"37","eucalyptus.188",188,2079,2944
"38","blood.transfusion.service.center.1464",1464,10101,168825
"39","diabetes.37",37,37,1917
"40","analcatdata_dmft.469",469,3560,4265
"41","analcatdata_authorship.458",458,3549,4254
"42","vehicle.54",54,53,1933
"43","tic.tac.toe.50",50,49,1929
"44","vowel.307",307,3022,3034
"45","credit.g.31",31,31,1911
"46","qsar.biodeg.1494",1494,9957,168826
"47","MiceProtein.40966",40966,146800,168827
"48","cnae.9.1468",1468,9981,168828
"49","pc1.1068",1068,3918,4623
"51","banknote.authentication.1462",1462,10093,168830
"52","pc4.1049",1049,3902,4607
"53","cmc.23",23,23,1903
"54","pc3.1050",1050,3903,4608
"55","one.hundred.plants.texture.1493",1493,9956,168831
"57","steel.plates.fault.40982",40982,146817,168832
"58","mfeat.morphological.18",18,18,1898
"59","mfeat.zernike.22",22,22,1902
"60","mfeat.karhunen.16",16,16,1896
"61","mfeat.fourier.14",14,14,1894
"62","mfeat.factors.12",12,12,1892
"63","kc1.1067",1067,3917,4622
"65","scene.312",312,3485,4190
"66","ozone.level.8hr.1487",1487,9978,168833
"67","madelon.1485",1485,9976,168834
"68","dna.40670",40670,167140,168835
"69","kr.vs.kp.3",3,3,1883
"70","Internet.Advertisements.40978",40978,167125,168836
"71","Bioresponse.4134",4134,9910,168837
"72","sick.38",38,3021,3024
"73","spambase.44",44,43,1923
"75","churn.40701",40701,167141,168839
"76","waveform.5000.60",60,58,1938
"77","phoneme.1489",1489,9952,168840
"78","texture.40499",40499,125922,168841
"79","first.order.theorem.proving.1475",1475,9985,168842
"80","mushroom.24",24,24,1904
"81","SpeedDating.40536",40536,146607,168843
"82","GesturePhaseSegmentationProcessed.4538",4538,14969,168844
"83","JapaneseVowels.375",375,3510,4215
"84","har.1478",1478,14970,168845
"85","PhishingWebsites.4534",4534,14952,168846
"86","gas.drift.1476",1476,9986,168847
"87","fabert.41164",41164,168760,168852
"88","sylvine.41146",41146,168761,168853
"89","jasmine.41143",41143,168764,168854
"90","christine.41142",41142,168765,168855
"91","yeast.181",181,2073,2938
"92","amazon.commerce.reviews.1457",1457,10090,168848
"93","wine.quality.white.40498",40498,145681,168849
"94","ada.41156",41156,168767,168850
"96","Dilbert.41163",41163,168770,168858
"97","Satellite.40900",40900,168759,168856
"98","mc1.1056",1056,3907,4612
"99","sylva_prior.1040",1040,3893,4598
"100","CreditCardSubset.4154",4154,10106,168857
